customer_id,account_number,account_type,balance,account_status,open_date,closed_date,created_at,branch_id
232,725626576271,Savings,281859.87,Active,2025-03-21,,2025-03-21,15
302,228949503724,Savings,243911.2,Active,2024-07-09,,2024-07-09,20
767,396787914302,Savings,448111.54,Active,2019-08-07,,2019-08-07,7
865,546985795756,Salary,106255.25,Active,2020-11-25,,2020-11-25,6
143,606127274883,Current,1590182.21,Active,2019-03-08,,2019-03-08,20
905,945742633580,Savings,244065.3,Active,2021-11-15,,2021-11-15,12
314,485917272692,Savings,318711.96,Active,2018-04-03,,2018-04-03,1
596,407496367162,Premium,4386190.76,Active,2025-12-29,,2025-12-29,1
301,465257812229,Salary,37585.36,Active,2019-05-08,,2019-05-08,8
932,431403705540,Current,273424.84,Active,2023-06-09,,2023-06-09,3
776,454929429335,Savings,479.76,Closed,2025-05-05,2026-07-27,2025-05-05,5
260,769604226936,Savings,244713.35,Active,2022-10-20,,2022-10-20,19
259,349925666801,Savings,464722.02,Active,2024-01-20,,2024-01-20,3
450,406631250700,Savings,220103.51,Active,2021-01-01,,2021-01-01,18
232,409901872622,Savings,57672.38,Active,2018-02-28,,2018-02-28,3
390,180973958096,Current,700802.74,Active,2024-03-21,,2024-03-21,9
970,690044804183,Savings,221611.32,Active,2018-04-01,,2018-04-01,8
938,352066614688,Savings,289898.75,Active,2023-10-24,,2023-10-24,20
884,221262797361,Current,1050768.2,Active,2022-03-14,,2022-03-14,14
528,110466692890,Savings,5851.29,Inactive,2020-05-21,,2020-05-21,9
974,701082152354,Salary,48942.55,Active,2020-12-06,,2020-12-06,15
681,601082550984,Current,531302.39,Active,2019-07-28,,2019-07-28,13
850,372724457896,Current,600088.51,Active,2024-11-04,,2024-11-04,5
292,976769341786,Savings,342328.98,Active,2022-11-09,,2022-11-09,8
851,694659472334,Savings,1871.51,Active,2022-09-11,,2022-09-11,8
410,123235293324,Salary,59927.8,Active,2021-05-17,,2021-05-17,10
217,381511240565,Savings,37329.52,Active,2025-08-29,,2025-08-29,13
43,240617893609,Salary,198719.97,Active,2021-03-25,,2021-03-25,13
126,947858545798,Savings,364508.58,Inactive,2022-05-13,,2022-05-13,17
889,128331317621,Current,404569.98,Active,2025-06-28,,2025-06-28,14
573,341224259628,Savings,56047.56,Active,2023-06-30,,2023-06-30,5
912,409704810502,Savings,485040.52,Active,2018-08-14,,2018-08-14,18
743,134756170259,Savings,250053.56,Active,2023-03-18,,2023-03-18,14
835,163903261993,Savings,273905.31,Active,2019-04-23,,2019-04-23,6
908,469016894619,Savings,452494.33,Active,2020-01-21,,2020-01-21,2
349,145378099935,Savings,476235.59,Active,2021-08-30,,2021-08-30,2
525,784301206096,Salary,172823.68,Active,2018-06-22,,2018-06-22,3
632,557026630666,Current,1798868.45,Active,2026-03-19,,2026-03-19,8
65,452191930814,Current,528352.29,Active,2024-12-02,,2024-12-02,7
661,245992370101,Savings,25603.05,Active,2019-07-29,,2019-07-29,18
269,909050255248,Savings,472329.76,Active,2024-01-30,,2024-01-30,7
745,969781650725,Savings,26559.72,Active,2025-08-20,,2025-08-20,15
280,265272885951,Savings,440905.2,Active,2018-01-16,,2018-01-16,13
828,988650451720,Current,972830.59,Active,2020-10-01,,2020-10-01,13
470,933422834450,Savings,279.93,Closed,2019-09-10,2022-05-20,2019-09-10,2
705,344095277285,Savings,100748.92,Active,2021-02-19,,2021-02-19,3
502,165329041290,Savings,182418.73,Active,2024-05-15,,2024-05-15,1
574,204301197650,Savings,428636.3,Active,2021-10-26,,2021-10-26,20
852,553545398090,Savings,148903.5,Active,2020-05-08,,2020-05-08,6
198,111519830129,Current,1625122.08,Active,2024-12-22,,2024-12-22,11
456,529790123629,Savings,241425.13,Active,2019-12-30,,2019-12-30,11
993,460270428970,Premium,2001618.96,Active,2023-04-01,,2023-04-01,10
219,286750395723,Savings,13090.65,Active,2022-04-03,,2022-04-03,13
122,147920696654,Current,502988.89,Active,2018-09-11,,2018-09-11,19
641,571006081887,Savings,164285.13,Active,2018-11-16,,2018-11-16,17
685,730190646968,Savings,463149.87,Active,2020-10-01,,2020-10-01,6
862,830515909074,Savings,339263.79,Active,2018-08-22,,2018-08-22,2
788,798523156770,Current,500464.74,Active,2018-12-26,,2018-12-26,18
307,993572303458,Savings,468648.64,Active,2025-11-07,,2025-11-07,8
854,628121628020,Salary,953.22,Closed,2019-07-10,2022-08-30,2019-07-10,20
666,210354672927,Savings,186952.53,Active,2021-02-12,,2021-02-12,16
164,620253428954,Current,392222.94,Frozen,2019-07-09,,2019-07-09,6
67,844587480991,Savings,77122.38,Active,2020-06-12,,2020-06-12,15
556,751406803706,Current,1135307.12,Active,2020-06-04,,2020-06-04,4
866,255997365938,Savings,322831.33,Active,2022-05-01,,2022-05-01,20
555,156916172222,Savings,83811.47,Active,2021-03-05,,2021-03-05,19
448,187311122464,Premium,1149814.41,Active,2021-04-24,,2021-04-24,15
239,141641468707,Savings,292150.33,Active,2025-11-06,,2025-11-06,11
366,365333620714,Current,1343073.13,Active,2022-11-14,,2022-11-14,15
363,483262868559,Salary,41741.9,Active,2024-02-19,,2024-02-19,7
876,290974068280,Savings,391548.36,Active,2021-09-04,,2021-09-04,11
221,145807879455,Savings,121260.21,Active,2022-07-27,,2022-07-27,20
77,655617492122,Current,1909987.24,Active,2019-05-01,,2019-05-01,11
224,196812415090,Current,947514.23,Active,2022-03-12,,2022-03-12,17
168,343163252498,Premium,2145693.74,Active,2024-03-27,,2024-03-27,10
228,918758872344,Current,126006.63,Frozen,2023-11-01,,2023-11-01,14
973,774359113772,Salary,6566.82,Active,2018-07-26,,2018-07-26,8
423,105846944854,Current,1171115.74,Active,2026-04-30,,2026-04-30,20
547,774714840756,Savings,424511.32,Active,2022-10-23,,2022-10-23,7
497,996328630109,Savings,268518.44,Active,2019-03-25,,2019-03-25,5
355,874574316772,Savings,196483.02,Active,2019-12-08,,2019-12-08,15
872,470990858339,Salary,153164.44,Active,2022-04-03,,2022-04-03,16
11,183657917489,Current,974008.08,Active,2022-06-30,,2022-06-30,6
691,440251976657,Savings,188665.33,Active,2021-01-11,,2021-01-11,9
51,600321734233,Savings,76035.1,Active,2018-04-27,,2018-04-27,3
250,372084249690,Savings,430808.26,Active,2024-11-13,,2024-11-13,2
607,457320696459,Current,1368876.74,Active,2018-06-18,,2018-06-18,4
99,486228247320,Current,1583170.82,Active,2024-08-08,,2024-08-08,7
