customer_id,beneficiary_name,nickname,account_number,ifsc_code,bank_name,account_type,beneficiary_mobile_number,beneficiary_email,upi_id,beneficiary_status,is_verified,added_on,verified_at,added_via
998,Chavvi Dada,Business,1240247548798866,INDB0520619,IDFC First Bank,Savings,5061481749,,chavvidada3948@okaxis,Active,1,2026-07-11 22:23:22,2026-07-14 04:16:22,Internet Banking
84,Kashvi Pillay,Dad,3711838464235417,PUNB0361117,Union Bank of India,Savings,0532980295,kashvi.pillay581@example.com,kashvipillay9783@ybl,Active,1,2024-09-10 14:14:44,2024-09-13 16:23:44,Internet Banking
148,Xavier Sem,Brother,3763851999439629,ICIC0378164,Yes Bank,Current,7950012470,xavier.sem247@example.com,,Inactive,1,2026-02-26 13:38:41,2026-03-01 02:54:41,Mobile App
398,Aahana Mallick,,8146964229602349,YESB0067726,Bank of Baroda,Savings,2936042161,aahana.mallick737@example.com,,Active,1,2025-08-26 02:51:42,2025-08-29 21:39:42,Internet Banking
291,Qarin Shan,Office,4633240672740934,PUNB0039315,Axis Bank,Savings,5853421644,qarin.shan399@example.com,,Active,1,2026-06-28 03:33:58,2026-06-29 13:09:58,Mobile App
955,Jairaj Manda,Vendor,2241332895173519,ICIC0327499,ICICI Bank,Savings,2405340998,jairaj.manda575@example.com,jairajmanda5696@okicici,Active,1,2024-03-11 18:32:39,2024-03-13 22:42:39,Mobile App
938,Bina Dhaliwal,Mom,5544139984683607,BARB0188501,Bank of Baroda,Savings,3474436197,,binadhaliwal3140@okicici,Active,1,2025-09-17 18:30:03,2025-09-23 01:45:03,Mobile App
244,Yashawini Pandey,Vendor,3958686942116923,CNRB0010980,Canara Bank,Savings,,yashawini.pandey881@example.com,,Active,1,2025-06-27 03:04:58,2025-07-01 06:52:58,Mobile App
220,Pranit Handa,Sister,4724406516993416,SBIN0566078,IndusInd Bank,Savings,0492732483,pranit.handa825@example.com,pranithanda2062@okhdfcbank,Active,1,2024-12-03 13:05:17,2024-12-07 14:53:17,Internet Banking
102,Harinakshi Rana,Mom,6793805298095382,UTIB0599024,Canara Bank,Current,,harinakshi.rana643@example.com,harinakshirana6070@paytm,Active,1,2024-06-23 07:33:31,2024-06-28 23:55:31,Mobile App
607,Nitara Dani,,662075182817809,UTIB0253016,Union Bank of India,Savings,0547122122,nitara.dani53@example.com,nitaradani3063@okicici,Active,1,2025-08-24 23:29:59,2025-08-31 10:07:59,Mobile App
