account_id,card_number,card_holder_name,card_type,card_network,issue_date,expiry_date,card_status,daily_limit,international_usage,contactless_enabled,created_at,block_reason
1021,4019877446325263,ANAY RAVAL,Debit,RuPay,2021-10-15,2025-10-15,Expired,200000,0,1,2021-10-15,Card Expired
874,4161446597719253,EKTA DAS,Debit,RuPay,2021-12-27,2025-12-27,Expired,200000,1,1,2021-12-27,Card Expired
1425,4613339915385378,DARIKA KULKARNI,Debit,RuPay,2024-03-02,2029-03-02,Active,200000,0,1,2024-03-02,
1038,4190713143177370,VICTOR CHAHAL,Debit,RuPay,2024-03-05,2029-03-05,Active,100000,0,1,2024-03-05,
840,4292994451476658,DHRUV GULATI,Debit,Mastercard,2024-12-07,2027-12-07,Active,50000,0,1,2024-12-07,
1069,4130111173287961,AAYUSH DEOL,Credit,RuPay,2026-01-02,2029-01-02,Active,500000,0,1,2026-01-02,
280,4556244083467814,TIMOTHY GADE,Debit,Mastercard,2021-01-29,2026-01-29,Expired,100000,0,1,2021-01-29,Card Expired
1185,4929145145457893,FALAK SAHOTA,Debit,Visa,2025-04-11,2028-04-11,Active,100000,0,1,2025-04-11,
515,4991970949322664,ZARNA RADHAKRISHNAN,Credit,Mastercard,2022-08-22,2026-08-22,Inactive,50000,1,0,2022-08-22,
929,4199217657434069,JALSA DEVI,Debit,RuPay,2026-04-25,2030-04-25,Active,200000,0,1,2026-04-25,
45,4063787847185612,FORUM BHASIN,Credit,Visa,2023-12-31,2028-12-31,Expired,300000,0,0,2023-12-31,Card Expired
716,4163747053377799,JACK CHAUDHARY,Debit,Visa,2025-04-09,2029-04-09,Active,200000,0,1,2025-04-09,
842,4260147251113805,MEGHA VASA,Credit,Visa,2024-01-09,2027-01-09,Active,50000,0,0,2024-01-09,
1347,4805666131742416,ABHIRAM BHATT,Debit,RuPay,2024-03-12,2028-03-12,Active,50000,1,1,2024-03-12,
628,4620695622117746,QUINCY SRINIVAS,Debit,Visa,2023-07-06,2028-07-06,Blocked,200000,0,1,2023-07-06,Multiple Failed PIN Attempts
296,4224146971383213,ARYAN KRISHNA,Debit,Mastercard,2025-11-04,2029-11-04,Active,25000,0,0,2025-11-04,
1362,4016363516132848,JASON PURI,Debit,Visa,2024-02-22,2029-02-22,Active,75000,1,1,2024-02-22,
144,4015119711838783,ANIRUDH MOHAN,Virtual,Mastercard,2026-03-26,2029-03-26,Active,50000,0,1,2026-03-26,
1039,4488476594734087,MANYA MUKHOPADHYAY,Prepaid,RuPay,2022-02-10,2027-02-10,Active,25000,0,1,2022-02-10,
119,4416628562245193,EKANSH SESHADRI,Debit,Visa,2022-03-25,2027-03-25,Active,200000,1,1,2022-03-25,
1062,4723153991468299,EKANI AGARWAL,Debit,RuPay,2022-06-19,2025-06-19,Expired,150000,0,1,2022-06-19,Card Expired
472,4465749821558839,BENJAMIN BOASE,Debit,Mastercard,2023-10-02,2027-10-02,Active,150000,0,1,2023-10-02,
1314,4431952259565837,GIRISH NAGARAJAN,Credit,RuPay,2022-11-17,2025-11-17,Expired,100000,0,1,2022-11-17,Card Expired
1389,4192407121006161,JONATHAN WAGLE,Credit,Mastercard,2023-09-03,2028-09-03,Active,500000,0,1,2023-09-03,
1393,4533351553747238,OESHI MOHAN,Debit,Visa,2024-01-19,2028-01-19,Active,50000,0,0,2024-01-19,
706,4272480052933315,SATHVIK PATLA,Debit,Visa,2021-11-19,2026-11-19,Active,150000,0,1,2021-11-19,
151,4997566836134792,DEVANSH SANI,Credit,RuPay,2025-07-03,2029-07-03,Active,50000,0,1,2025-07-03,
482,4061481977761223,REHAAN BALI,Debit,Visa,2025-05-27,2028-05-27,Active,50000,0,1,2025-05-27,
1131,4883575994009509,ISHANI RAGHAVAN,Debit,RuPay,2025-04-29,2028-04-29,Active,200000,0,1,2025-04-29,
744,4114870612909983,VANYA SOM,Debit,RuPay,2025-02-24,2030-02-24,Active,100000,1,1,2025-02-24,
616,4323986833542768,VASUDHA KALLA,Credit,Visa,2021-03-10,2025-03-10,Expired,50000,0,1,2021-03-10,Card Expired
518,4756905095298246,URVASHI CHAUDRY,Credit,RuPay,2025-02-26,2029-02-26,Expired,300000,0,0,2025-02-26,Card Expired
159,4576627268036467,KRITIKA MITAL,Debit,RuPay,2026-01-02,2029-01-02,Inactive,25000,0,1,2026-01-02,
1127,4447742074288168,SUHANI ROY,Debit,Mastercard,2021-05-05,2024-05-05,Expired,200000,1,1,2021-05-05,Card Expired
829,4089169073642194,ABHIMANYU SACHAR,Debit,Visa,2022-03-23,2025-03-23,Expired,100000,0,1,2022-03-23,Card Expired
641,4577843613278314,ATHARV GOYAL,Debit,Visa,2024-09-10,2029-09-10,Active,75000,0,1,2024-09-10,
941,4184659349666033,MEKHALA MASTER,Debit,Mastercard,2024-07-04,2029-07-04,Inactive,25000,0,1,2024-07-04,
517,4517564670782093,SIDDHARTH PATLA,Prepaid,Visa,2024-03-31,2029-03-31,Active,25000,0,1,2024-03-31,
304,4541643967855449,ORINDER MOHANTY,Prepaid,RuPay,2021-04-29,2025-04-29,Expired,25000,0,1,2021-04-29,Card Expired
1359,4248225594025022,FINN DUGAR,Prepaid,RuPay,2024-09-11,2027-09-11,Active,75000,0,1,2024-09-11,
1120,4291742856949158,KASHVI SAMA,Debit,Mastercard,2026-04-27,2030-04-27,Active,75000,0,1,2026-04-27,
1260,4686967155196398,SHRAVYA VYAS,Credit,Visa,2024-11-14,2029-11-14,Active,100000,1,1,2024-11-14,
232,4612124325166872,CHANDANI SANDHU,Credit,Mastercard,2025-10-26,2029-10-26,Active,500000,0,1,2025-10-26,
1455,4848769084339465,LIPIKA SALVI,Debit,Mastercard,2024-08-03,2027-08-03,Active,50000,0,1,2024-08-03,
24,4195657065789758,RISHI DUGAR,Debit,RuPay,2024-10-01,2028-10-01,Active,50000,0,0,2024-10-01,
456,4422358132823692,KRISHNA DYAL,Debit,Mastercard,2026-04-17,2031-04-17,Active,100000,0,1,2026-04-17,
1330,4342940935573219,LIAM PALLA,Prepaid,RuPay,2024-06-27,2027-06-27,Active,50000,0,1,2024-06-27,
1472,4167629248112723,MAYA IYER,Debit,Visa,2025-02-09,2028-02-09,Inactive,150000,1,0,2025-02-09,
