customer_name,mobile_number,email,dob,gender,occupation,house_no,street,area,city,state,pincode,country,pan_number,kyc_status,created_at,customer_status,login_status
Nirja Mistry,9554919776,nirja.mistry0@gmail.com,1989-06-01,Female,Business Owner,679,Deol Street,Ville,Hyderabad,Telangana,500001,India,AQYKQ6770H,Verified,2024-04-18 12:48:43,Active,Active
Yahvi Anne,9275530207,yahvi.anne1@gmail.com,2003-04-22,Other,Sales Executive,585,Nagi Zila,Ville,Chennai,Tamil Nadu,600001,India,GOTPO6231I,Verified,2022-07-05 09:57:44,Active,Active
Neha Varughese,6103322970,neha.varughese2@gmail.com,2004-06-09,Female,Marketing Manager,415,Basu Nagar,Ville,Jaipur,Rajasthan,302001,India,MJUXB2933R,Verified,2024-11-11 07:26:36,Active,Active
Joshua Deep,8762715687,joshua.deep3@gmail.com,1989-04-13,Male,Business Owner,801,Gill,Ville,Kota,Rajasthan,324001,India,GKAHV5715Y,Verified,2023-09-18 22:21:28,Active,Active
Fitan Chada,9898109254,fitan.chada4@gmail.com,1980-05-20,Male,Business Owner,807,Bala Circle,Ville,Mumbai,Maharashtra,400001,India,EMLYY8998W,Verified,2022-07-02 14:53:44,Active,Active
Aarnav Rastogi,8015599474,aarnav.rastogi5@gmail.com,2003-09-16,Male,Student,750,Bal Circle,Ville,Kota,Rajasthan,324001,India,RMOLF8786R,Verified,2023-01-10 22:36:57,Active,Active
Wyatt Korpal,7759872292,wyatt.korpal6@gmail.com,1992-05-13,Male,Bank Employee,193,Raghavan Ganj,Ville,Bhopal,Madhya Pradesh,462001,India,OSOCR5772O,Rejected,2023-07-27 13:39:47,Active,Active
Kiaan Bhasin,8094333773,kiaan.bhasin7@gmail.com,2005-07-16,Male,Government Employee,490,Ghosh Street,Ville,Kolkata,West Bengal,700001,India,BCCPX6187R,Verified,2023-01-07 17:38:29,Active,Active
Praneel Rau,7581865604,praneel.rau8@gmail.com,1992-10-13,Male,Student,775,Pall Path,Ville,Hyderabad,Telangana,500001,India,AMULB2461E,Verified,2022-02-13 08:22:03,Active,Active
Damini Subramaniam,7053072327,damini.subramaniam9@gmail.com,1972-01-22,Female,Student,966,Mallick Circle,Ville,Kanpur,Uttar Pradesh,208001,India,IPCFS1876W,Verified,2026-05-17 22:21:02,Active,Active
Krisha Dasgupta,6847362865,krisha.dasgupta10@gmail.com,1986-02-24,Female,Accountant,78,Kalita Circle,Ville,Hyderabad,Telangana,500001,India,ARVEH0737Q,Verified,2023-03-07 22:08:59,Active,Active
Madhavi Shukla,8219387978,madhavi.shukla11@gmail.com,1989-07-15,Female,Engineer,20,Sarin Ganj,Ville,Kolkata,West Bengal,700001,India,OSGEY6463V,Verified,2023-11-19 08:34:04,Active,Active
Sneha Korpal,6622245408,sneha.korpal12@gmail.com,2003-09-14,Female,Accountant,514,Chandra Zila,Ville,Patna,Bihar,800001,India,AAHHK9936P,Verified,2025-09-02 12:18:48,Active,Active
Sanaya Soni,7871215986,sanaya.soni13@gmail.com,1977-03-24,Female,Bank Employee,764,Misra,Ville,Bhopal,Madhya Pradesh,462001,India,TSTWW4053X,Verified,2023-01-24 09:10:27,Active,Active
Aarush Das,9202359412,aarush.das14@gmail.com,1983-10-18,Male,Sales Executive,618,Agate Ganj,Ville,Jaipur,Rajasthan,302001,India,OUOPX3240C,Verified,2023-06-26 20:08:01,Active,Active
Nihal Jani,7206010620,nihal.jani15@gmail.com,1972-11-16,Male,Software Engineer,66,Chaudhry Zila,Ville,Bhopal,Madhya Pradesh,462001,India,SPTWS3711O,Verified,2022-12-10 21:10:57,Active,Active
Zaid Jhaveri,9846238708,zaid.jhaveri16@gmail.com,1982-06-22,Male,Accountant,409,Deo Path,Ville,Bhopal,Madhya Pradesh,462001,India,SDDMD6559A,Verified,2023-12-30 23:48:04,Active,Active
