employee_code,branch_id,employee_name,gender,dob,designation,department,mobile_number,email,hire_date,salary,emp_house_no,emp_street,emp_area,emp_city,emp_state,emp_pincode,country,employee_status,created_at,manager_id,exit_date
EMP0001,14,Balendra Lad,Female,1970-12-04,Cashier,Cash Operations,7833199537,balendra.lad1@vmbank.com,2015-05-21,35067.55,258,Bansal Ganj,Ville,Jamalpur,Mizoram,258882,India,Active,2015-05-21,,
EMP0002,1,Abhimanyu Palan,Female,1989-05-18,Relationship Manager,Sales,7078869126,abhimanyu.palan2@vmbank.com,2018-08-12,58245.2,128,Warrior Road,Ville,Berhampore,Telangana,115818,India,Active,2018-08-12,,
EMP0003,7,Thomas Wable,Female,1983-03-05,Cashier,Cash Operations,8465287320,thomas.wable3@vmbank.com,2017-06-01,32317.59,175,Muni Street,Ville,Amravati,Nagaland,704342,India,Active,2017-06-01,,
EMP0004,1,Champak Soni,Male,2002-05-22,IT Executive,IT,7372382032,champak.soni4@vmbank.com,2024-09-18,35015.85,902,Saini Chowk,Ville,Gopalpur,Tamil Nadu,696521,India,Active,2024-09-18,,
EMP0005,9,Nandini Nayak,Female,1985-01-07,Customer Service Executive,Customer Service,9375285660,nandini.nayak5@vmbank.com,2024-06-23,39820.13,668,Shukla Ganj,Ville,Cuttack,Maharashtra,159413,India,Active,2024-06-23,,
EMP0006,20,Yash Luthra,Female,1975-08-14,Assistant Branch Manager,Branch Operations,8105885094,yash.luthra6@vmbank.com,2022-01-27,52325.48,380,Hayre Road,Ville,Patiala,Chhattisgarh,951761,India,Active,2022-01-27,,
EMP0007,14,Amol Kapoor,Female,1999-09-19,Cashier,Cash Operations,8498569262,amol.kapoor7@vmbank.com,2017-05-02,43067.7,978,Kant Ganj,Ville,Machilipatnam,Punjab,527672,India,Active,2017-05-02,,
EMP0008,2,Gauri Borah,Female,1994-12-25,HR Executive,Human Resources,7675495332,gauri.borah8@vmbank.com,2015-07-16,42757.57,871,Tara Circle,Ville,Surat,Sikkim,214505,India,Active,2015-07-16,,
EMP0009,12,Atharv Chokshi,Male,2002-02-12,Relationship Manager,Sales,9151236129,atharv.chokshi9@vmbank.com,2024-09-28,62164.35,580,Bal Nagar,Ville,Alwar,Odisha,262112,India,Active,2024-09-28,,
EMP0010,18,Hritik Lala,Female,1991-08-09,HR Executive,Human Resources,8831728463,hritik.lala10@vmbank.com,2017-07-10,34060.01,972,Hans,Ville,Nellore,Punjab,409848,India,Inactive,2017-07-10,,
EMP0011,4,Daksh Balasubramanian,Male,1981-01-04,Assistant Branch Manager,Branch Operations,7210643893,daksh.balasubramanian11@vmbank.com,2022-02-11,62260.64,784,Ranganathan Nagar,Ville,Anantapur,Madhya Pradesh,158141,India,Suspended,2022-02-11,,
EMP0012,6,Upma Deshpande,Female,1989-10-07,Customer Service Executive,Customer Service,8157489886,upma.deshpande12@vmbank.com,2017-12-24,22766.64,97,Chanda Ganj,Ville,Kozhikode,Chhattisgarh,680067,India,Active,2017-12-24,,
EMP0013,9,Osha Joshi,Female,1988-12-28,Loan Officer,Loans,8275000497,osha.joshi13@vmbank.com,2021-06-13,57873.92,174,Srinivas Path,Ville,Sangli-Miraj & Kupwad,Sikkim,027038,India,Active,2021-06-13,,
EMP0014,8,Kalpit Sura,Female,1992-10-01,Loan Officer,Loans,8372917325,kalpit.sura14@vmbank.com,2017-01-01,56771.99,114,Merchant Ganj,Ville,Siliguri,Haryana,597732,India,Active,2017-01-01,,
EMP0015,5,Yagnesh Mukhopadhyay,Female,1976-08-21,Relationship Manager,Sales,8224130063,yagnesh.mukhopadhyay15@vmbank.com,2015-01-29,62369.6,581,Joshi Street,Ville,Nellore,Uttarakhand,037434,India,Active,2015-01-29,,
EMP0016,10,Warinder Buch,Female,1984-03-07,IT Executive,IT,9454339194,warinder.buch16@vmbank.com,2023-02-18,52322.4,330,Walia Chowk,Ville,Allahabad,Maharashtra,837243,India,Active,2023-02-18,,
EMP0017,7,Faras Chadha,Female,1978-09-20,HR Executive,Human Resources,8710099919,faras.chadha17@vmbank.com,2021-01-29,42841.25,266,Chadha Path,Ville,Deoghar,Odisha,933085,India,Active,2021-01-29,,
EMP0018,17,Yashawini Ghose,Male,2001-08-15,Relationship Manager,Sales,7506667877,yashawini.ghose18@vmbank.com,2023-05-08,63725.07,306,Subramaniam Marg,Ville,Sikar,Mizoram,250424,India,Active,2023-05-08,,
EMP0019,19,Vaishnavi Oommen,Female,1972-03-13,Loan Officer,Loans,9582184520,vaishnavi.oommen19@vmbank.com,2022-10-10,43107.31,293,Baral Zila,Ville,Panihati,Andhra Pradesh,214257,India,Active,2022-10-10,,
EMP0020,18,Pratyush Prakash,Male,1973-04-20,Cashier,Cash Operations,9675772406,pratyush.prakash20@vmbank.com,2022-08-06,38353.45,488,Chada Chowk,Ville,Mehsana,Manipur,684741,India,Active,2022-08-06,,
EMP0021,1,Kai Sengupta,Female,1991-07-15,Cashier,Cash Operations,9634806037,kai.sengupta21@vmbank.com,2021-03-10,42083.88,924,Manda Circle,Ville,Vellore,Odisha,925826,India,Active,2021-03-10,,
EMP0022,13,Ayaan Dani,Male,1985-04-07,Assistant Branch Manager,Branch Operations,9800289101,ayaan.dani22@vmbank.com,2021-10-03,67177.21,651,Nori Path,Ville,Mahbubnagar,Goa,735365,India,Inactive,2021-10-03,,
EMP0023,17,Rachana Kara,Male,2002-04-09,Customer Service Executive,Customer Service,9730512836,rachana.kara23@vmbank.com,2020-09-18,27940.44,586,Viswanathan Road,Ville,Bhavnagar,Andhra Pradesh,381742,India,Active,2020-09-18,,
EMP0024,20,Ojas Som,Female,1969-04-19,Loan Officer,Loans,8743167092,ojas.som24@vmbank.com,2020-01-19,56426.1,84,Patla Chowk,Ville,Nagercoil,Uttar Pradesh,713571,India,Active,2020-01-19,,
EMP0025,7,Rachita Khatri,Female,1989-02-24,Operations Executive,Operations,9087162637,rachita.khatri25@vmbank.com,2018-11-17,42428.03,127,Tara Circle,Ville,Purnia,Bihar,861160,India,Active,2018-11-17,,
EMP0026,4,Priya Gupta,Male,1988-08-22,Assistant Branch Manager,Branch Operations,8282855708,priya.gupta26@vmbank.com,2025-06-17,67210.65,676,Chakraborty Nagar,Ville,Shimoga,Mizoram,653572,India,Active,2025-06-17,,
EMP0027,5,Arya Sha,Male,1984-09-14,Customer Service Executive,Customer Service,8674009468,arya.sha27@vmbank.com,2024-06-27,36619.4,236,Jayaraman Nagar,Ville,Ghaziabad,Haryana,778870,India,Suspended,2024-06-27,,
EMP0028,13,Anya Soman,Female,1969-10-12,Relationship Manager,Sales,9097380018,anya.soman28@vmbank.com,2021-08-03,47869.89,90,Bose Path,Ville,Vellore,Haryana,182576,India,Active,2021-08-03,,
EMP0029,9,Abeer Bora,Male,1977-07-22,Branch Manager,Branch Operations,7722886526,abeer.bora29@vmbank.com,2017-05-24,119269.18,710,Kadakia Street,Ville,Latur,Madhya Pradesh,810255,India,Active,2017-05-24,,
EMP0030,11,Girik Bhagat,Female,1973-05-25,Cashier,Cash Operations,9831345077,girik.bhagat30@vmbank.com,2021-04-04,26033.63,722,Chaudry Circle,Ville,Bellary,Kerala,374777,India,Active,2021-04-04,,
EMP0031,17,Vamakshi Wali,Female,1977-06-20,HR Executive,Human Resources,9782918032,vamakshi.wali31@vmbank.com,2017-11-17,53717.28,903,Devi Marg,Ville,Vellore,Telangana,742531,India,Active,2017-11-17,,
EMP0032,5,Fitan Bakshi,Female,2000-01-27,Loan Officer,Loans,8865747963,fitan.bakshi32@vmbank.com,2023-03-15,58681.93,541,Dash Road,Ville,Amravati,Andhra Pradesh,767293,India,Active,2023-03-15,,
EMP0033,4,Neha Raju,Male,1979-05-17,Cashier,Cash Operations,9299644984,neha.raju33@vmbank.com,2023-09-13,32671.11,55,Dhillon Circle,Ville,Amritsar,Kerala,309172,India,Active,2023-09-13,,
EMP0034,14,Akshay Basu,Female,1966-12-27,Loan Officer,Loans,9910124844,akshay.basu34@vmbank.com,2023-12-01,50192.65,367,Bedi Zila,Ville,Kolkata,Gujarat,616883,India,Active,2023-12-01,,
EMP0035,8,Guneet Vyas,Female,1989-12-02,Customer Service Executive,Customer Service,7042470685,guneet.vyas35@vmbank.com,2019-08-12,35533.38,547,Hayre Street,Ville,Gulbarga,Chhattisgarh,004799,India,Suspended,2019-08-12,,
EMP0036,17,Samar Radhakrishnan,Male,1975-11-25,Cashier,Cash Operations,7772212398,samar.radhakrishnan36@vmbank.com,2017-10-19,27754.21,690,Kapur Road,Ville,Uluberia,Karnataka,682800,India,Active,2017-10-19,,
EMP0037,1,Ekta Lad,Male,1971-01-01,Cashier,Cash Operations,9294374819,ekta.lad37@vmbank.com,2020-06-13,27922.1,522,Ratti,Ville,Khora ,Kerala,722392,India,Active,2020-06-13,,
EMP0038,11,Eta Peri,Female,1987-08-15,Loan Officer,Loans,8257774848,eta.peri38@vmbank.com,2016-11-27,45167.31,334,Pillay Street,Ville,Kanpur,Assam,957223,India,Active,2016-11-27,,
EMP0039,8,Chandani Rama,Female,1967-10-11,Relationship Manager,Sales,9424213093,chandani.rama39@vmbank.com,2016-09-27,56896.84,793,Dhar Ganj,Ville,Proddatur,Gujarat,042350,India,Active,2016-09-27,,
EMP0040,7,Unnati Kuruvilla,Male,1977-07-27,Relationship Manager,Sales,9057068898,unnati.kuruvilla40@vmbank.com,2018-01-25,57758.99,574,Manne Circle,Ville,Dhule,Rajasthan,029568,India,Active,2018-01-25,,
EMP0041,3,Baljiwan Kade,Female,1967-07-27,Customer Service Executive,Customer Service,8213418273,baljiwan.kade41@vmbank.com,2022-03-09,29285.96,504,Radhakrishnan Chowk,Ville,Jaipur,Andhra Pradesh,754883,India,Active,2022-03-09,,
