customer_id,document_type,document_number,issue_date,expiry_date,verification_status,verified_by,verification_date,uploaded_at,document_expired,uploaded_via,rejection_reason,document_path
605,Passport,H7962151,2023-11-13,2033-11-13,Rejected,28.0,2023-12-08,2023-11-18,0,Internet Banking,Document details mismatch,documents/kyc/CUST_605/Passport/605_696633.pdf
918,Driving License,DL405032574003,2024-05-03,2029-05-03,Verified,35.0,2024-05-14,2024-06-01,0,Mobile App,,documents/kyc/CUST_918/Driving_License/918_845419.pdf
216,Passport,D9791831,2020-01-26,2030-01-26,Pending,,,2020-02-25,0,Mobile App,,documents/kyc/CUST_216/Passport/216_661875.pdf
432,Passport,A8654601,2018-09-09,2028-09-09,Verified,34.0,2018-10-08,2018-09-21,0,Branch,,documents/kyc/CUST_432/Passport/432_598025.pdf
689,Driving License,DL596793948980,2012-03-07,2022-03-07,Verified,75.0,2012-03-29,2012-04-01,1,Mobile App,,documents/kyc/CUST_689/Driving_License/689_192346.pdf
630,Passport,K1317761,2010-05-13,2020-05-13,Pending,,,2010-05-18,1,Branch,,documents/kyc/CUST_630/Passport/630_965582.pdf
921,PAN,HDWGS3519O,2014-08-06,,Pending,,,2014-08-16,0,Mobile App,,documents/kyc/CUST_921/PAN/921_570399.pdf
494,Passport,D3446487,2011-07-23,2016-07-23,Rejected,57.0,2011-08-04,2011-07-26,1,Mobile App,Verification failed,documents/kyc/CUST_494/Passport/494_823081.pdf
322,Passport,D8809603,2022-07-08,2027-07-08,Verified,69.0,2022-07-17,2022-08-04,0,Mobile App,,documents/kyc/CUST_322/Passport/322_574587.pdf
160,Passport,X3800073,2013-07-24,2018-07-24,Verified,62.0,2013-08-12,2013-08-23,1,Mobile App,,documents/kyc/CUST_160/Passport/160_123827.pdf
886,Aadhaar,770835323491,2010-09-24,,Pending,,,2010-09-27,0,Mobile App,,documents/kyc/CUST_886/Aadhaar/886_632013.pdf
740,Voter ID,VID995753129211,2012-11-14,2022-11-14,Verified,97.0,2012-11-15,2012-11-29,1,Mobile App,,documents/kyc/CUST_740/Voter_ID/740_508555.pdf
